size,text
57,Re
49,朋友
43,同居
34,求助
30,名聲
30,真的
29,分享
28,男友
27,女友
27,討論
26,傷名聲
24,傷名聲嗎
23,同居真的很傷名聲
23,居真的很傷名聲嗎
23,心情
21,女生
21,這樣
18,女朋友
17,一個
17,怎麼
15,因為
15,沒有
14,對方
14,覺得
13,不是
12,po
12,工作
12,我們
12,異性
12,認識
11,可以
11,問題
11,我的
11,接受
11,朋友跟
11,的人
11,言語
11,跟異性
10,不會
10,友跟異性這樣言語
10,大家
10,女朋友跟異性這樣
10,朋友跟異性這樣言
10,的女
10,經驗
10,能否接受男
10,跟異性這樣言語往
9,什麼
9,分手
9,友的
9,如何
9,異性這樣言語往來
9,自己
9,還是
8,也不
8,個人
8,我是
8,是不
8,每天
7,一定
7,一直
7,不好
7,事情
7,但是
7,其實
7,只是
7,同事
7,對象
7,就是
7,年的
7,很多
7,我也
7,手機
7,時間
7,有沒有
7,男生
7,知道
7,跟我
7,都是
6,一起
6,之前
6,今天
6,友同
6,反應
6,可能
6,喜歡
6,女兒
6,如果
6,對話
6,就不
6,愛情
6,時候
6,曖昧
6,朋友的
6,正確
6,每次
6,發現
6,聊天
6,跟男
6,開始
6,電話
5,一次
5,上的
5,不愛
5,不知
5,不要
5,也有
5,交往
5,以為
5,個月
5,原因
5,同事送
5,和男
5,女友同
5,希望
5,常常
5,年多
5,想要
5,我覺得
5,我跟
5,所以
5,打電
5,是女
5,最近
5,樣的
5,現在
5,生理
5,用心
5,男朋友
5,的事
5,的情
5,的時
5,的男
5,的經驗
5,第一
5,結婚
5,聯絡
5,觀念
5,該怎麼
5,跟男友
5,送禮
5,這種
5,這麼
5,需要
4,line
4,一下
4,一年
4,一樣
4,不同
4,不太
4,不知道
4,不過
4,中的
4,也是
4,個女
4,到一
4,劈腿
4,原來
4,原文
4,可是
4,同居的
4,和男友
4,四年
4,因為我
4,在一起
4,多了
4,大學
4,大家都
4,大的
4,天都
4,女人
4,女友同事送禮
4,妙禪
4,妳的
4,小生
4,已經
4,建議
4,怎麼辦
4,情嗎
4,情的
4,感情
4,我看
4,我說
4,打電話
4,是女生
4,根本
4,標題
4,次見
4,每天密
4,無法
4,理解
4,生理反應
4,生的
4,男女
4,的女兒
4,的女生
4,的對
4,的時候
4,目前
4,看板
4,確的
4,第一次
4,繼續
4,而且
4,該如何防
4,說不
4,這篇
4,過去
4,都會
4,雖然
4,面的
3,ptt
3,xd
3,一些
3,一切
3,一直在
3,不小心
3,不能
3,之銘言
3,之間
3,互動
3,人家
3,以前
3,以後
3,件事
3,你對
3,來看
3,信任
3,個女生
3,個禮
3,假設
3,傳染
3,內容
3,兩個
3,兩年
3,到底
3,前女友
3,又不
3,友不
3,友交往
3,友到
3,友說不
3,另一
3,只有
3,各自
3,同學
3,同意
3,告知
3,唱歌
3,回憶
3,回文
3,回頭
3,在意
3,多的
3,女友的
3,女孩
3,女的
3,如何克制生理反應
3,媽媽
3,學校
3,學習
3,封鎖
3,對象原來信妙禪大
3,差異
3,年的感情
3,引述
3,很熟
3,後的
3,心情不
3,心態
3,您的
3,情人
3,想問
3,意見
3,愛滋
3,懷念
3,我個人是
3,我女
3,我有
3,我沒
3,才會
3,換了
3,文章
3,新對象原來信妙禪
3,新的
3,方的
3,是一
3,是你
3,是否
3,是對
3,是很
3,是男
3,是這
3,時就
3,曾經
3,會在
3,有一
3,有些
3,有問題
3,朋友之
3,本身
3,正常
3,正確的
3,死會
3,每次都
3,沒什麼
3,照片
3,父母
3,狀態
3,甚至
3,男友自
3,男女朋友
3,當朋友
3,的原
3,的回
3,的我
3,的朋友
3,看了
3,睡著
3,第一次見
3,翻譯
3,而已
3,而我
3,而是
3,聊的
3,聲的
3,能說
3,至少
3,要分
3,要我
3,要這
3,見面
3,覺得我
3,話來
3,認識了
3,說的
3,講話
3,議題
3,象原來信妙禪大師
3,起來
3,距離
3,跟他
3,跟我說
3,轉錄
3,這個
3,這樣的
3,過來
3,過的
3,還在
3,那種
3,開心
3,頻率
3,高中
2,Fw
2,GAY
2,Gossiping
2,Mon
2,Nov
2,WomenTalk
2,XDDDDD
2,http
2,一個人
2,一個月的
2,一個禮
2,一半
2,一天
2,一年多
2,一時
2,一般
2,一起住
2,一輩
2,三個
2,上的女生有同居經
2,下午
2,下班後不願意花時
2,不一
2,不上
2,不到一
2,不可
2,不太會
2,不安
2,不小心睡著
2,不想
2,不會送這麼
2,不要再
2,不要打
2,不需要
2,不願意花時間陪我
2,串回文
2,也不會
2,也會勸我重視的親
2,也沒
2,了新的
2,事實
2,事情的
2,交往六年
2,交過
2,人是不會想要同居
2,什麼的
2,他在
2,他尚未結婚的情人
2,他是
2,他的
